iter	Passed	Remaining
0	174	173869
1	261	130597
2	335	111620
3	383	95459
4	456	90744
5	537	89011
6	613	86994
7	649	80477
8	708	77990
9	776	76829
10	830	74630
11	895	73731
12	943	71663
13	1023	72082
14	1085	71276
15	1113	68481
16	1179	68231
17	1255	68493
18	1316	67950
19	1346	65994
20	1429	66653
21	1468	65268
22	1529	64964
23	1596	64905
24	1646	64196
25	1716	64293
26	1786	64382
27	1854	64391
28	1901	63684
29	1971	63754
30	2038	63710
31	2080	62937
32	2154	63129
33	2230	63385
34	2305	63556
35	2388	63952
36	2418	62955
37	2480	62801
38	2513	61930
39	2591	62193
40	2662	62267
41	2729	62249
42	2773	61716
43	2861	62170
44	2912	61809
45	2983	61879
46	3056	61975
47	3100	61502
48	3167	61476
49	3203	60867
50	3252	60515
51	3297	60108
52	3380	60397
53	3410	59752
54	3479	59783
55	3548	59809
56	3619	59872
57	3689	59919
58	3762	60013
59	3805	59624
60	3855	59346
61	3895	58933
62	3948	58722
63	4009	58640
64	4049	58248
65	4115	58243
66	4144	57711
67	4213	57748
68	4294	57944
69	4370	58065
70	4416	57783
71	4447	57317
72	4513	57319
73	4549	56925
74	4577	56454
75	4606	56001
76	4659	55857
77	4729	55902
78	4796	55921
79	4870	56010
80	4949	56154
81	5050	56539
82	5121	56582
83	5189	56590
84	5255	56576
85	5321	56551
86	5401	56688
87	5441	56396
88	5507	56370
89	5553	56155
90	5625	56192
91	5690	56161
92	5737	55956
93	5760	55518
94	5836	55605
95	5887	55442
96	5955	55443
97	6018	55390
98	6088	55409
99	6160	55447
100	6235	55503
101	6277	55264
102	6358	55374
103	6442	55504
104	6472	55173
105	6541	55170
106	6586	54968
107	6653	54955
108	6719	54923
109	6795	54980
110	6865	54985
111	6921	54874
112	6999	54941
113	7066	54916
114	7132	54888
115	7219	55017
116	7286	54994
117	7352	54953
118	7423	54959
119	7447	54615
120	7478	54329
121	7527	54170
122	7569	53972
123	7590	53623
124	7618	53330
125	7640	53001
126	7710	53001
127	7734	52694
128	7807	52718
129	7854	52565
130	7904	52434
131	7941	52219
132	7976	51999
133	8003	51724
134	8075	51745
135	8149	51774
